Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 7,Author 8,Author 9,Author 10,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Country 1,Country 2,Country 3,Country 4,Country 5,Country 6,Country 7,Country 8,Country 9,Country 10,Country 11,Country 12,Country 13,Country 14,Country 15,Country 16,Country 17,Country 18,University 1,University 2,University 3,University 4,University 5,University 6,University 7,University 8,University 9,University 10,University 11,University 12,University 13,University 14,University 15,University 16,University 17,University 18,Author with Affliliation 1,Author with Affliliation 2,Author with Affliliation 3,Author with Affliliation 4,Author with Affliliation 5,Author with Affliliation 6,Author with Affliliation 7,Author with Affliliation 8,Author with Affliliation 9,Author with Affliliation 10,Document Type,Publication Stage,Source,EID
"Salam, Syed Munimus (57190261661)","Rashid, Muhammad Mahbubur (55420033000)","Ali, Mohammad Yeakub (55348433600)","Susiapan, Yvette Shaan Li (25931153500)",,,,,,,57190261661; 55420033000; 55348433600; 25931153500,Exploring the potential of artificial intelligence based flywheels as energy-saving devices in industrial settings,2024,AIP Conference Proceedings,0,10.1063/5.0229869,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204019276&doi=10.1063%2F5.0229869&partnerID=40&md5=43724380ff89cdc345f6e2e5fffa7584,Malaysia,Brunei Darussalam,Malaysia,,,,,,,,,,,,,,,,International Islamic University Malaysia,Universiti Teknologi Brunei,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,Syed Munimus Salam - International Islamic University Malaysia,Muhammad Mahbubur Rashid - International Islamic University Malaysia,Mohammad Yeakub Ali - Universiti Teknologi Brunei,Yvette Shaan Li Susiapan - Kuala Lumpur,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204019276
"Shakila, M. (58367389000)","Rama, Arunmozhi (57191645744)","Christy, S. (57211404122)","Kanakala, Aishwarya (59327731600)","Lau, Cheeyong (57216207202)",,,,,,58367389000; 57191645744; 57211404122; 59327731600; 57216207202,Hyperledger fabric and beyond: A comprehensive review of blockchain innovations in supply chain,2024,AIP Conference Proceedings,4,10.1063/5.0229280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204019255&doi=10.1063%2F5.0229280&partnerID=40&md5=826de4873153113c7e6aeabd597ce8ab,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,M. Shakila - Chennai,Arunmozhi Rama - Chennai,S. Christy - Chennai,Aishwarya Kanakala - Asia Pacific University of Technology and Innovation,Cheeyong Lau - Asia Pacific University of Technology and Innovation,,,,,,Conference paper,Final,Scopus,2-s2.0-85204019255
"Ramasenderan, Narendran (59328285100)","Thiruchelvam, Vinesh A.L. (55697499000)","Shuhad, M. M. (59327990100)","Ravinchandra, Krishna A.L. (57148494700)","Xuan, L. W. (59328390400)","Sivanesan, Sivakumar (57203359474)",,,,,59328285100; 55697499000; 59327990100; 57148494700; 59328390400; 57203359474,Data analytics for smart fertilizing system,2024,AIP Conference Proceedings,0,10.1063/5.0229202,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204019022&doi=10.1063%2F5.0229202&partnerID=40&md5=dab9c18adb63c5595d63e6ba013d1383,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Narendran Ramasenderan - Asia Pacific University of Technology and Innovation,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,M. M. Shuhad - Asia Pacific University of Technology and Innovation,Krishna A.L. Ravinchandra - Asia Pacific University of Technology and Innovation,L. W. Xuan - Asia Pacific University of Technology and Innovation,Sivakumar Sivanesan - Asia Pacific University of Technology and Innovation,,,,,Conference paper,Final,Scopus,2-s2.0-85204019022
"Sumanth, Krishna Venkata (57223315234)","Venkatesh, R. (57203947230)","Thiruchelvam, Vinesh A.L. (55697499000)","Jothi Arunachalam, S. Jothi (59151132200)","Rathinasamy, Saravanan (57205248435)",,,,,,57223315234; 57203947230; 55697499000; 59151132200; 57205248435,A novel experimental investigation on material removal rate of Al-Si12CU using WCC coated and uncoated silicon nitride by CNC turning,2024,AIP Conference Proceedings,0,10.1063/5.0229312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204018941&doi=10.1063%2F5.0229312&partnerID=40&md5=dcb53238feca97ec5dd3da875f3f6c40,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Krishna Venkata Sumanth - Saveetha School of Engineering,R. Venkatesh - Saveetha School of Engineering,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,S. Jothi Jothi Arunachalam - Saveetha School of Engineering,Saravanan Rathinasamy - Saveetha School of Engineering,,,,,,Conference paper,Final,Scopus,2-s2.0-85204018941
"Swarnalaxmi, V. (59328499000)","Anbuselvan, N. (55885310600)","Thiruchelvam, Vinesh A.L. (55697499000)",,,,,,,,59328499000; 55885310600; 55697499000,Power loss reduction of IEEE 69 bus system using evolutionary based bat algorithm compared with bat algorithm by compensating DSTATCOM size,2024,AIP Conference Proceedings,1,10.1063/5.0229291,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204018846&doi=10.1063%2F5.0229291&partnerID=40&md5=81b099731af77802becc3b55909e1b2c,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,V. Swarnalaxmi - Saveetha School of Engineering,N. Anbuselvan - Saveetha School of Engineering,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204018846
"Kumar, V. G. (59328371100)","Deepak, A. V.S. (57210350224)","Kaviya, S. J. (58764754100)","Selvaperumal, Sathish Kumar (59454536000)",,,,,,,59328371100; 57210350224; 58764754100; 59454536000,Comparative assessment of surface currents in dual-band antennas for 5G utilizing FR4 and RT duroid substrates,2024,AIP Conference Proceedings,1,10.1063/5.0229466,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204018562&doi=10.1063%2F5.0229466&partnerID=40&md5=acfcea97c940187c46feb145c34e05f9,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,V. G. Kumar - Saveetha School of Engineering,A. V.S. Deepak - Saveetha School of Engineering,S. J. Kaviya - Saveetha School of Engineering,Sathish Kumar Selvaperumal - Asia Pacific University of Technology and Innovation,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204018562
"Vijayakumar, L. (59250758000)","Manikandan, R. (59328369600)","Yamuna, D. (58726153700)","Nataraj, Chandrasekharan (56878677800)",,,,,,,59250758000; 59328369600; 58726153700; 56878677800,Work related stress among Tamil Nadu doctors during Covid-19,2024,AIP Conference Proceedings,0,10.1063/5.0229413,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204018398&doi=10.1063%2F5.0229413&partnerID=40&md5=99be9be78e17fc52497fdd89e89654cf,India,India,India,Malaysia,,,,,,,,,,,,,,,Saveetha Institute of Medical and Technical Sciences,K.M.G. College of Arts & Science,Sathyabama Institute of Science and Technology,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,L. Vijayakumar - Saveetha Institute of Medical and Technical Sciences,R. Manikandan - Gudiyatham,D. Yamuna - Sathyabama Institute of Science and Technology,Chandrasekharan Nataraj - Asia Pacific University of Technology and Innovation,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204018398
"Yap, P. J. (59328647100)","Lau, Cheeyong (57216207202)","Affan, M. (59328499200)",,,,,,,,59328647100; 57216207202; 59328499200,Harmonizing solar power: Maximizing photovoltaic system efficiency and mitigating harmonics with advanced algorithms and active power filters,2024,AIP Conference Proceedings,0,10.1063/5.0230081,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204018050&doi=10.1063%2F5.0230081&partnerID=40&md5=e11cb5e005134eca796c404c6f621f29,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,P. J. Yap - Kuala Lumpur,Cheeyong Lau - Kuala Lumpur,M. Affan - Kuala Lumpur,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204018050
"Ramasenderan, Narendran (59328285100)","Thiruchelvam, Vinesh A.L. (55697499000)","Saeed, Umar (59327886900)","Ravinchandra, Krishna A.L. (57148494700)","Ying, Y. Y.X.Sio (59328270500)","Sivanesan, Sivakumar (57203359474)",,,,,59328285100; 55697499000; 59327886900; 57148494700; 59328270500; 57203359474,Loose fruit detection for autonomous loose fruit collector,2024,AIP Conference Proceedings,0,10.1063/5.0229191,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204017513&doi=10.1063%2F5.0229191&partnerID=40&md5=835372f3e6774139ac1acaba40500c96,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Narendran Ramasenderan - Asia Pacific University of Technology and Innovation,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,Umar Saeed - Asia Pacific University of Technology and Innovation,Krishna A.L. Ravinchandra - Asia Pacific University of Technology and Innovation,Y. Y.X.Sio Ying - Asia Pacific University of Technology and Innovation,Sivakumar Sivanesan - Asia Pacific University of Technology and Innovation,,,,,Conference paper,Final,Scopus,2-s2.0-85204017513
"Bhaskar, Radhika (59135111100)","Karthik, Peneti S.Shrikanth (59091175600)","Alexander, C. H.C. (59327650600)",,,,,,,,59135111100; 59091175600; 59327650600,Study of illumination characteristics of halogen with the nanoparticles doped with ferrous - Zinc oxide (Fe - ZnO) composite material using novel sol-gel method,2024,AIP Conference Proceedings,0,10.1063/5.0229661,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204017493&doi=10.1063%2F5.0229661&partnerID=40&md5=9cd53e60efe00b8928a2f85ce9b4308e,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Radhika Bhaskar - Saveetha School of Engineering,Peneti S.Shrikanth Karthik - Saveetha School of Engineering,C. H.C. Alexander - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204017493
"Alexander, C. H.C. (59327650600)","Sivakumar, Sivanesan (59110975500)","Selvaperumal, Sathish Kumar (59454536000)",,,,,,,,59327650600; 59110975500; 59454536000,Gamification in CAD learning: A methodological approach for engineering curriculum,2024,AIP Conference Proceedings,0,10.1063/5.0229644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204017140&doi=10.1063%2F5.0229644&partnerID=40&md5=976fe7448d81e1bad3373ee4976f35d0,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,C. H.C. Alexander - Asia Pacific University of Technology and Innovation,Sivanesan Sivakumar - Asia Pacific University of Technology and Innovation,Sathish Kumar Selvaperumal - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204017140
"Ibrahim, Musa Alhaji (57218448822)","Gidado, Auwalu Yusuf (58070988400)","Auwal, S. T. (57200331680)","Kunya, Bashir Isyaku (57208215202)","Mu’az, N. M. (58071350300)","Jacqueline, L. (57191024056)",,,,,57218448822; 58070988400; 57200331680; 57208215202; 58071350300; 57191024056,Prediction of volume loss of reinforced polytetrafluoroethylene matrix composites using machine learning algorithms,2024,AIP Conference Proceedings,0,10.1063/5.0229592,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204017068&doi=10.1063%2F5.0229592&partnerID=40&md5=d89c056ee3b22222b4a065a6be1222b6,Nigeria,Malaysia,,,,,,,,,,,,,,,,,Aliko Dangote University of Science and Technology,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Musa Alhaji Ibrahim - Aliko Dangote University of Science and Technology,Auwalu Yusuf Gidado - Aliko Dangote University of Science and Technology,S. T. Auwal - Aliko Dangote University of Science and Technology,Bashir Isyaku Kunya - Aliko Dangote University of Science and Technology,N. M. Mu’az - Aliko Dangote University of Science and Technology,L. Jacqueline - Kuala Lumpur,,,,,Conference paper,Final,Scopus,2-s2.0-85204017068
"Reddy, J. Nithish Kumar (59327888800)","Thangaraj, S. John Justin (57189507742)","Ramasenderan, Narendran (59328285100)",,,,,,,,59327888800; 57189507742; 59328285100,Improving query response time for data integrity in cloud using T-Merkle Hash tree over Wang's scheme,2024,AIP Conference Proceedings,0,10.1063/5.0229222,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204016047&doi=10.1063%2F5.0229222&partnerID=40&md5=0827809ffe79b74cb904538ff2fe0e99,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,J. Nithish Kumar Reddy - Saveetha School of Engineering,S. John Justin Thangaraj - Saveetha School of Engineering,Narendran Ramasenderan - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204016047
"Tiong, Angnes Ngieng Tze (56743157800)","Wong, S. F. (56924159300)","Tan, H. L. (59328120900)",,,,,,,,56743157800; 56924159300; 59328120900,Turbulent thermal-hydraulic performance of nanofluid in circular and non-circular ducts with insert: Numerical approach,2024,AIP Conference Proceedings,0,10.1063/5.0229692,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204015937&doi=10.1063%2F5.0229692&partnerID=40&md5=ebe0efbbcee48ef7a6b98d820773cc2f,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Curtin University,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Angnes Ngieng Tze Tiong - Malaysia,S. F. Wong - Kuala Lumpur,H. L. Tan - Malaysia,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204015937
"Leong, Y. H.G. (59328619000)","Jayapal, Vikneswary (57211394806)","Shamini, P. (59327732200)",,,,,,,,59328619000; 57211394806; 59327732200,Smart resistance band with IoT for home rehabilitation,2024,AIP Conference Proceedings,0,10.1063/5.0229479,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204015779&doi=10.1063%2F5.0229479&partnerID=40&md5=b9c80e6eff6587a917f626412c237834,Malaysia,Malaysia,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,Universiti Tunku Abdul Rahman,,,,,,,,,,,,,,,,,Y. H.G. Leong - Asia Pacific University of Technology and Innovation,Vikneswary Jayapal - Universiti Tunku Abdul Rahman,P. Shamini - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204015779
"Sudheer, V. (59327884600)","Raja, A. (57200882180)","Thiruchelvam, Vinesh A.L. (55697499000)","Deepak, A. V.S. (57210350224)",,,,,,,59327884600; 57200882180; 55697499000; 57210350224,Comparative analysis on bandwidth enhancement of innovative T shape isotropic antenna using RT duroid substrate with FR4 substrate,2024,AIP Conference Proceedings,0,10.1063/5.0229259,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204015316&doi=10.1063%2F5.0229259&partnerID=40&md5=2725c523edbf9b92d8643352345e26c4,India,Malaysia,India,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,Saveetha Institute of Medical and Technical Sciences,,,,,,,,,,,,,,,,V. Sudheer - Saveetha School of Engineering,A. Raja - Saveetha School of Engineering,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,A. V.S. Deepak - Saveetha Institute of Medical and Technical Sciences,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204015316
"Jujjavarapu, M. (59328622800)","Puviarasi, R. (56554189500)","Ramasenderan, Narendran (59328285100)",,,,,,,,59328622800; 56554189500; 59328285100,Accuracy analysis based novel sale prediction of perishable goods using stepwise linear regression in comparison with multiple regression algorithm,2024,AIP Conference Proceedings,0,10.1063/5.0229205,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204015004&doi=10.1063%2F5.0229205&partnerID=40&md5=a2bb0405e8efe95b2022f3e6cf9eb39e,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,M. Jujjavarapu - Chennai,R. Puviarasi - Chennai,Narendran Ramasenderan - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204015004
"Selvi, T. Kalai (59671628300)","Sasirekha, Selvakumar (57212600875)","Seeralan, Arun (58402933800)","Manikandan, M. (59327761300)",,,,,,,59671628300; 57212600875; 58402933800; 59327761300,Virtual mouse implementation with hand gesture recognition using OpenCV and VNC,2024,AIP Conference Proceedings,0,10.1063/5.0229705,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204014863&doi=10.1063%2F5.0229705&partnerID=40&md5=85db3c94cbdd4724e429607fe79a513d,India,India,Malaysia,,,,,,,,,,,,,,,,Erode Sengunthar Engineering College,SSN College of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,T. Kalai Selvi - Erode Sengunthar Engineering College,Selvakumar Sasirekha - SSN College of Engineering,Arun Seeralan - Asia Pacific University of Technology and Innovation,M. Manikandan - Erode Sengunthar Engineering College,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204014863
"Miraclene, G. (59327731800)","Ramakrishnan, Praveen (57212682367)","Thiruchelvam, Vinesh A.L. (55697499000)",,,,,,,,59327731800; 57212682367; 55697499000,Silicon substituted hydroxyapatite comparison and synthesis using Fourier transform infrared radiation spectroscopy method,2024,AIP Conference Proceedings,0,10.1063/5.0229327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204014526&doi=10.1063%2F5.0229327&partnerID=40&md5=7c48611384d375a30a370fc2ac248a03,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,G. Miraclene - Saveetha School of Engineering,Praveen Ramakrishnan - Saveetha School of Engineering,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204014526
"Krishna, T. M.S. (59327756700)","Mohana, Jaishankar (56915949800)","Selvaperumal, Sathish Kumar (59454536000)","Kumar, P. N. (59522467300)",,,,,,,59327756700; 56915949800; 59454536000; 59522467300,A novel approach for prediction of eye microcirculatory disorder using enhanced random forest algorithm and accuracy comparison with Naive Bayes algorithm,2024,AIP Conference Proceedings,0,10.1063/5.0229464,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204014492&doi=10.1063%2F5.0229464&partnerID=40&md5=b62289c1f9e097dfd7a6269787740de0,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,T. M.S. Krishna - Saveetha School of Engineering,Jaishankar Mohana - Saveetha School of Engineering,Sathish Kumar Selvaperumal - Asia Pacific University of Technology and Innovation,P. N. Kumar - Asia Pacific University of Technology and Innovation,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204014492
"Kumar, C. Venkatasunil S. (59327888700)","Joselin Jeya Sheela, Joselin (57213840237)","Nataraj, Chandrasekharan (56878677800)",,,,,,,,59327888700; 57213840237; 56878677800,Exploring enhanced CNN for predicting semiconductor device health compared to support vector machine,2024,AIP Conference Proceedings,0,10.1063/5.0229426,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204014173&doi=10.1063%2F5.0229426&partnerID=40&md5=469748302fce85da4a4c9e653e821fd2,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,C. Venkatasunil S. Kumar - Chennai,Joselin Joselin Jeya Sheela - Chennai,Chandrasekharan Nataraj - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204014173
"Sathish, K. S. (59923033600)","Periyarselvam, K. (57192704284)","Alagirisamy, Mukil (57194716418)","Ravi, L. (59327995000)",,,,,,,59923033600; 57192704284; 57194716418; 59327995000,Designing of a mathematical model to create an ATM pin,2024,AIP Conference Proceedings,0,10.1063/5.0229429,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013970&doi=10.1063%2F5.0229429&partnerID=40&md5=e001fdcaa6db3c0ec67636cf892bcdaa,Malaysia,India,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,GRT Institute of Engineering and Technology,,,,,,,,,,,,,,,,,K. S. Sathish - Asia Pacific University of Technology and Innovation,K. Periyarselvam - GRT Institute of Engineering and Technology,Mukil Alagirisamy - Asia Pacific University of Technology and Innovation,L. Ravi - Asia Pacific University of Technology and Innovation,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204013970
"Sinnadurai, Rajendran (36350220500)","Lakshmanan, Ravi (56024984300)","Sethu, Devika (57211999792)","Mohamad, M. H. (59327758700)",,,,,,,36350220500; 56024984300; 57211999792; 59327758700,Static simulation of A 12/10 switched reluctance machine for starter-generator application,2024,AIP Conference Proceedings,0,10.1063/5.0229714,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013790&doi=10.1063%2F5.0229714&partnerID=40&md5=393bd33bfe0a5a2d655b43955af8b3f4,Malaysia,Malaysia,Malaysia,,,,,,,,,,,,,,,,University of Selangor,Asia Pacific University of Technology and Innovation,Mila University,,,,,,,,,,,,,,,,Rajendran Sinnadurai - University of Selangor,Ravi Lakshmanan - Asia Pacific University of Technology and Innovation,Devika Sethu - Mila University,M. H. Mohamad - University of Selangor,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204013790
"Hussain, Syed Muddusir (59328495700)","Naz, Tayaba (59327989500)","Shakeel, M. (59431017600)","Akram, Faraz (55261713200)","Rahman, Jawwad Sami Ur (57216780281)","Sathish, K. S. (59923033600)",,,,,59328495700; 59327989500; 59431017600; 55261713200; 57216780281; 59923033600,Advanced imaging technique-based brain tumor segmentation using ResNET-50 CNN,2024,AIP Conference Proceedings,1,10.1063/5.0229438,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013425&doi=10.1063%2F5.0229438&partnerID=40&md5=13b226c15674f25e14341171cbf7ff48,Pakistan,Pakistan,Pakistan,Malaysia,,,,,,,,,,,,,,,Riphah International University,Foundation University,Hamdard University,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,Syed Muddusir Hussain - Riphah International University,Tayaba Naz - Islamabad,M. Shakeel - Riphah International University,Faraz Akram - Riphah International University,Jawwad Sami Ur Rahman - Hamdard University,K. S. Sathish - Asia Pacific University of Technology and Innovation,,,,,Conference paper,Final,Scopus,2-s2.0-85204013425
"Liu, J. L. (59328517400)","Ting, Y. H. (59328517500)","Khor, Yohanz H. (59257536900)","Wong, S. F. (56924159300)","Chong, Susin (54388092500)",,,,,,59328517400; 59328517500; 59257536900; 56924159300; 54388092500,"Shading factors, techno-economics, and environmental assessment of solar on-ground PV system in Xiamen University Malaysia campus",2024,AIP Conference Proceedings,0,10.1063/5.0231744,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013411&doi=10.1063%2F5.0231744&partnerID=40&md5=a6ba8fb8fbe19d054123a8c94f4cf5f8,Malaysia,China,Malaysia,,,,,,,,,,,,,,,,Xiamen University Malaysia,Xiamen University,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,J. L. Liu - Xiamen University Malaysia,Y. H. Ting - Xiamen University Malaysia,Yohanz H. Khor - Xiamen University,S. F. Wong - Asia Pacific University of Technology and Innovation,Susin Chong - Xiamen University Malaysia,,,,,,Conference paper,Final,Scopus,2-s2.0-85204013411
"Manoj, K. R. (59328267000)","Manikandan, G. (57217244571)","Chalini, G. R. (59004115000)","Thiruchelvam, Vinesh A.L. (55697499000)",,,,,,,59328267000; 57217244571; 59004115000; 55697499000,Comparison of roberts edge detection and Laplacian edge detection for classification of guava leaf disease,2024,AIP Conference Proceedings,2,10.1063/5.0229261,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013305&doi=10.1063%2F5.0229261&partnerID=40&md5=eebb570bae2e031bdc7e72af9049d335,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,K. R. Manoj - Saveetha School of Engineering,G. Manikandan - Saveetha School of Engineering,G. R. Chalini - Saveetha School of Engineering,Vinesh A.L. Thiruchelvam - Asia Pacific University of Technology and Innovation,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204013305
"Kiat, Chua Meng (59206707100)","Affan, M. (59328499200)",,,,,,,,,59206707100; 59328499200,A power factor for single-stage isolated bridgeless boost half-bridge AC-DC converter - An observation,2024,AIP Conference Proceedings,0,10.1063/5.0229234,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013230&doi=10.1063%2F5.0229234&partnerID=40&md5=0700c57e18787da8c799919ffb6da4b8,Malaysia,,,,,,,,,,,,,,,,,,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,,Chua Meng Kiat - Asia Pacific University of Technology and Innovation,M. Affan - Asia Pacific University of Technology and Innovation,,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204013230
"Elumalai, Meganathan (58972134600)","Fernandez, Terrance Frederick (55787142900)","Lau, Cheeyong (57216207202)",,,,,,,,58972134600; 55787142900; 57216207202,Disease identification in plants hybridising variants of neural networks,2024,AIP Conference Proceedings,0,10.1063/5.0229296,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013169&doi=10.1063%2F5.0229296&partnerID=40&md5=090f9ddaeaa377b9fa9b72093133baf6,India,Malaysia,,,,,,,,,,,,,,,,,Saveetha School of Engineering,Asia Pacific University of Technology and Innovation,,,,,,,,,,,,,,,,,Meganathan Elumalai - Saveetha School of Engineering,Terrance Frederick Fernandez - Saveetha School of Engineering,Cheeyong Lau - Asia Pacific University of Technology and Innovation,,,,,,,,Conference paper,Final,Scopus,2-s2.0-85204013169
"Subramanian, R. Raja (57207876618)","Natraj, Chandrasekharan (59308853400)","Raja Sudharsan, R. (57203149670)","Hariharasitaraman, S. (57200615003)","Priyadharsan, M. R.T. (57712646800)","Kamalakannan, Purnanchale (58110194800)","JayaKumar, Shruti (58444235400)","Ishaq, A. M.S. (59328643000)","Padmanaban, S. (58110183600)",,57207876618; 59308853400; 57203149670; 57200615003; 57712646800; 58110194800; 58444235400; 59328643000; 58110183600,Deep learning-based pneumonia classifier on chest X-ray images,2024,AIP Conference Proceedings,4,10.1063/5.0229773,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204013146&doi=10.1063%2F5.0229773&partnerID=40&md5=e4de3db4b7c793ea60e30edb683c33aa,India,Malaysia,India,India,,,,,,,,,,,,,,,Kalasalingam Academy of Research and Education,Asia Pacific University of Technology and Innovation,Sri Shanmugha College Of Engineering and Technology,VIT Bhopal University,,,,,,,,,,,,,,,R. Raja Subramanian - Kalasalingam Academy of Research and Education,Chandrasekharan Natraj - Asia Pacific University of Technology and Innovation,R. Raja Sudharsan - Salem,S. Hariharasitaraman - VIT Bhopal University,M. R.T. Priyadharsan - VIT Bhopal University,Purnanchale Kamalakannan - Kalasalingam Academy of Research and Education,Shruti JayaKumar - Kalasalingam Academy of Research and Education,A. M.S. Ishaq - Kalasalingam Academy of Research and Education,S. Padmanaban - Kalasalingam Academy of Research and Education,,Conference paper,Final,Scopus,2-s2.0-85204013146
